Código Programa,Nome do programa,Sigla IES,Grau acadêmico Atual do PPG,Nome Modalidade,Nota do Programa,Situação Programa,Programa em Forma Associativa,Área de Avaliação,Área Conhecimento,Grande área de conhecimento
22002014003P8,DIREITO CONSTITUCIONAL,UNIFOR,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
40028011001P8,DIREITO PROCESSUAL E CIDADANIA,UNIPAR,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41001010011P1,DIREITO,UFSC,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33007012005P3,DIREITO,UNIMEP,Mestrado,ACADÊMICO,2,EM DESATIVACAO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
15001016170P5,DIREITO E DESENVOLVIMENTO NA AMAZÔNIA,UFPA,Mestrado Profissional,PROFISSIONAL,A,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33111014001P9,DIREITO,UNIVEM,Mestrado,ACADÊMICO,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
41005015001P8,CIÊNCIA JURÍDICA,UNIVALI,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42001013042P3,DIREITO,UFRGS,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
26038005001P4,"DIREITO, MERCADO, COMPLIANCE E SEGURANÇA HUMANA",CERS,Mestrado Profissional,PROFISSIONAL,3,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33105014001P2,SISTEMA CONSTITUCIONAL DE GARANTIA DE DIREITOS,CEUB,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33024014018P2,DIREITO POLÍTICO E ECONÔMICO,MACKENZIE,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40003019006P4,DIREITO,PUCPR,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
31032010002P6,DIREITO,UCAM,Mestrado,ACADÊMICO,2,EM DESATIVACAO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42005019013P9,DIREITO,PUCRS,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42005019023P4,CIÊNCIAS CRIMINAIS,PUCRS,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
42020018002P9,DIREITO,UNISC,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40002012002P2,DIREITO NEGOCIAL,UEL,Mestrado/Doutorado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40001016017P3,DIREITO,UFPR,Mestrado/Doutorado,ACADÊMICO,6,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
53001010017P3,DIREITO,UNB,Mestrado/Doutorado,ACADÊMICO,7,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PÚBLICO,CIÊNCIAS SOCIAIS APLICADAS
33136017001P4,FUNÇÃO SOCIAL DO DIREITO,FADISP,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
25002015006P5,DIREITO,UNICAP,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
40029018001P4,DIREITO,UNICURITIBA,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
30001013027P0,Direito Processual,UFES,Mestrado,ACADÊMICO,4,EM FUNCIONAMENTO,Não,DIREITO,DIREITO PROCESSUAL CIVIL,CIÊNCIAS SOCIAIS APLICADAS
53005015001P1,DIREITO,UNICEUB,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
33005010019P5,DIREITO,PUCSP,Mestrado/Doutorado,ACADÊMICO,5,EM FUNCIONAMENTO,Não,DIREITO,DIREITO,CIÊNCIAS SOCIAIS APLICADAS
